ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime
11808,Others-CCCPS135a,3883,26.14749943,91.72800489,1081,car,low,2,0,04-10-2016,07:59:00
11809,Others-CCCPS135a,3883,26.14749943,91.72800489,1467,bike,low,3,0,04-10-2016,08:25:00
11810,Others-CCCPS135a,3883,26.14749943,91.72800489,2007,car,low,2,0,04-10-2016,08:59:00
11811,Others-CCCPS135a,3883,26.14749943,91.72800489,2502,bike,low,3,0,04-10-2016,09:32:00
11812,Others-CCCPS135a,3883,26.14749943,91.72800489,2802,truck,low,3,0,04-10-2016,09:59:00
11813,Others-CCCPS135a,3883,26.14749943,91.72800489,3035,car,low,5,0,04-10-2016,10:26:00
11814,Others-CCCPS135a,3883,26.14749943,91.72800489,3169,car,average,6,0,04-10-2016,10:59:00
11815,Others-CCCPS135a,3883,26.14749943,91.72800489,3221,truck,average,7,0,04-10-2016,11:25:00
11816,Others-CCCPS135a,3883,26.14749943,91.72800489,3248,bike,average,7,0,04-10-2016,11:59:00
11817,Others-CCCPS135a,3883,26.14749943,91.72800489,3251,car,high,11,0,04-10-2016,12:29:00
11818,Others-CCCPS135a,3883,26.14749943,91.72800489,3232,car,high,10,0,04-10-2016,13:02:00
11819,Others-CCCPS135a,3883,26.14749943,91.72800489,3184,bike,high,10,0,04-10-2016,13:29:00
11820,Others-CCCPS135a,3883,26.14749943,91.72800489,3145,truck,average,5,0,04-10-2016,14:02:00
11821,Others-CCCPS135a,3883,26.14749943,91.72800489,3113,bike,average,5,0,04-10-2016,14:29:00
11822,Others-CCCPS135a,3883,26.14749943,91.72800489,3011,car,average,6,0,04-10-2016,14:57:00
11823,Others-CCCPS135a,3883,26.14749943,91.72800489,2839,car,low,4,0,04-10-2016,15:30:00
11824,Others-CCCPS135a,3883,26.14749943,91.72800489,2656,bike,low,2,0,04-10-2016,16:04:00
11825,Others-CCCPS135a,3883,26.14749943,91.72800489,2359,car,low,3,0,04-10-2016,16:31:00
11826,Others-CCCPS135a,3883,26.14749943,91.72800489,1104,car,low,3,0,05-10-2016,07:57:00
11827,Others-CCCPS135a,3883,26.14749943,91.72800489,1599,car,low,2,0,05-10-2016,08:30:00
11828,Others-CCCPS135a,3883,26.14749943,91.72800489,2142,car,low,3,0,05-10-2016,09:04:00
11829,Others-CCCPS135a,3883,26.14749943,91.72800489,2552,car,low,3,0,05-10-2016,09:30:00
11830,Others-CCCPS135a,3883,26.14749943,91.72800489,2957,car,low,4,0,05-10-2016,10:04:00
11831,Others-CCCPS135a,3883,26.14749943,91.72800489,3117,car,average,5,0,05-10-2016,10:30:00
11832,Others-CCCPS135a,3883,26.14749943,91.72800489,3177,car,high,10,0,05-10-2016,11:04:00
11833,Others-CCCPS135a,3883,26.14749943,91.72800489,3194,car,average,6,0,05-10-2016,11:30:00
11834,Others-CCCPS135a,3883,26.14749943,91.72800489,3213,bike,high,10,0,05-10-2016,12:04:00
11835,Others-CCCPS135a,3883,26.14749943,91.72800489,3190,bike,high,11,0,05-10-2016,12:30:00
11836,Others-CCCPS135a,3883,26.14749943,91.72800489,3145,bike,high,11,0,05-10-2016,12:57:00
11837,Others-CCCPS135a,3883,26.14749943,91.72800489,3146,cycle,average,7,0,05-10-2016,13:30:00
11838,Others-CCCPS135a,3883,26.14749943,91.72800489,3140,car,average,7,0,05-10-2016,13:57:00
11839,Others-CCCPS135a,3883,26.14749943,91.72800489,3072,bike,average,5,0,05-10-2016,14:30:00
11840,Others-CCCPS135a,3883,26.14749943,91.72800489,2963,car,average,6,0,05-10-2016,14:57:00
11841,Others-CCCPS135a,3883,26.14749943,91.72800489,2782,car,low,3,0,05-10-2016,15:30:00
11842,Others-CCCPS135a,3883,26.14749943,91.72800489,2571,car,low,3,0,05-10-2016,16:04:00
